control_zone,date,total_load
Amprion,2022-02-01,15181272.965
Amprion,2022-03-01,15860254.575
Amprion,2022-04-01,14598874.4825
Amprion,2022-05-01,14652530.9375
Amprion,2022-06-01,13619806.4625
Amprion,2022-07-01,13805574.8525
Amprion,2022-08-01,13536425.1125
Amprion,2022-09-01,13495051.2575
Amprion,2022-10-01,13622799.6975
Amprion,2022-11-01,13740046.38
Amprion,2022-12-01,14200766.4375
Amprion,2023-01-01,14672333.845
Amprion,2023-02-01,13011055.275
Amprion,2023-03-01,14287207.72
Amprion,2023-04-01,13091241.885
Amprion,2023-05-01,13056428.7975
Amprion,2023-06-01,12723040.79
Amprion,2023-07-01,12803863.58
Amprion,2023-08-01,12975064.755
Amprion,2023-09-01,12809551.0425
Amprion,2023-10-01,13832349.0975
Amprion,2023-11-01,14547437.765
Amprion,2023-12-01,14218875.7725
Amprion,2024-01-01,15801169.715
Amprion,2024-02-01,14383592.7375
Amprion,2024-03-01,14540641.485
Amprion,2024-04-01,13670456.3625
Amprion,2024-05-01,12973096.4675
Amprion,2024-06-01,12834189.8325
Amprion,2024-07-01,13194267.2
Amprion,2024-08-01,13463997.945
Amprion,2024-09-01,13081507.5675
Amprion,2024-10-01,13121689.5
Amprion,2024-11-01,14743277.03
Amprion,2024-12-01,14604593.4525
Amprion,2025-01-01,15867441.3075
Amprion,2025-02-01,14493769.12
TenneT,2015-01-01,13870725.28
TenneT,2015-02-01,12828700.5225
TenneT,2015-03-01,13580085.3925
TenneT,2015-04-01,12266155.6025
TenneT,2015-05-01,12067982.425
TenneT,2015-06-01,11976267.2725
TenneT,2015-07-01,12689991.33
TenneT,2015-08-01,12098479.84
TenneT,2015-09-01,12271779.1975
TenneT,2015-10-01,13189388.49
TenneT,2015-11-01,13329706.3825
TenneT,2015-12-01,13187340.4575
TenneT,2016-01-01,13940917.3975
TenneT,2016-02-01,13129611.3675
TenneT,2016-03-01,13426493.2525
TenneT,2016-04-01,12288086.4625
TenneT,2016-05-01,12027875.99
TenneT,2016-06-01,12074052.275
TenneT,2016-07-01,12234238.3125
TenneT,2016-08-01,12214764.015
TenneT,2016-09-01,12200905.6325
TenneT,2016-10-01,12879216.7525
TenneT,2016-11-01,13514570.3025
TenneT,2016-12-01,13632801.9325
TenneT,2017-01-01,14259489.2425
TenneT,2017-02-01,12618846.425
TenneT,2017-03-01,13208219.6225
TenneT,2017-04-01,12036853.005
TenneT,2017-05-01,12321327.185
TenneT,2017-06-01,11795095.795
TenneT,2017-07-01,12001306.6625
TenneT,2017-08-01,12158001.4825
TenneT,2017-09-01,12017167.6425
TenneT,2017-10-01,12789449.26
TenneT,2017-11-01,13371784.745
TenneT,2017-12-01,13453267.165
TenneT,2018-01-01,13756927.1075
TenneT,2018-02-01,12845231.8575
TenneT,2018-03-01,13648441.3325
TenneT,2018-04-01,11934970.0425
TenneT,2018-05-01,11956579.8275
TenneT,2018-06-01,11906880.94
TenneT,2018-07-01,12220803.92
TenneT,2018-08-01,12308596.255
TenneT,2018-09-01,11985418.91
TenneT,2018-10-01,12921105.375
TenneT,2018-11-01,13212334.355
TenneT,2018-12-01,13138272.0975
TenneT,2019-01-01,14068803.435
TenneT,2019-02-01,12489512.6425
TenneT,2019-03-01,13216633.31
TenneT,2019-04-01,11871155.935
TenneT,2019-05-01,12137717.3925
TenneT,2019-06-01,11558363.805
TenneT,2019-07-01,12246111.095
TenneT,2019-08-01,11833915.2175
TenneT,2019-09-01,11772682.1075
TenneT,2019-10-01,12620994.255
TenneT,2019-11-01,12896098.265
TenneT,2019-12-01,12888075.42
TenneT,2020-01-01,13771638.2825
TenneT,2020-02-01,12862676.15
TenneT,2020-03-01,12873784.28
TenneT,2020-04-01,10936221.9825
TenneT,2020-05-01,11118424.225
TenneT,2020-06-01,10885186.2375
TenneT,2020-07-01,11706806.28
TenneT,2020-08-01,11592754.985
TenneT,2020-09-01,11692492.5175
TenneT,2020-10-01,12926684.0725
TenneT,2020-11-01,12848729.1875
TenneT,2020-12-01,12789019.2825
TenneT,2021-01-01,13508521.985
TenneT,2021-02-01,12371446.0825
TenneT,2021-03-01,13300594.4775
TenneT,2021-04-01,12144564.7625
TenneT,2021-05-01,11932343.025
TenneT,2021-06-01,11773211.375
TenneT,2021-07-01,12105278.975
TenneT,2021-08-01,11712323.885
TenneT,2021-09-01,11726109.0
TenneT,2021-10-01,12797374.845
TenneT,2021-11-01,13265688.64
TenneT,2021-12-01,13422366.845
TenneT,2022-01-01,13739922.0825
TenneT,2022-02-01,12606217.595
TenneT,2022-03-01,13061590.3175
TenneT,2022-04-01,11990697.8175
TenneT,2022-05-01,11993353.255
TenneT,2022-06-01,11369340.1475
TenneT,2022-07-01,11710541.1775
TenneT,2022-08-01,11502732.84
TenneT,2022-09-01,11330730.1825
TenneT,2022-10-01,11854358.2025
TenneT,2022-11-01,12251636.435
TenneT,2022-12-01,12627263.515
TenneT,2023-01-01,12861520.135
TenneT,2023-02-01,11672324.185
TenneT,2023-03-01,12318576.5075
TenneT,2023-04-01,10392183.2225
TenneT,2023-05-01,11048577.885
TenneT,2023-06-01,10835979.8075
TenneT,2023-07-01,11168556.9275
TenneT,2023-08-01,11180780.5775
TenneT,2023-09-01,10902582.5975
TenneT,2023-10-01,11872914.29
TenneT,2023-11-01,12497302.5025
TenneT,2023-12-01,12563291.785
TenneT,2024-01-01,13192589.505
TenneT,2024-02-01,11961138.6575
TenneT,2024-03-01,12099515.89
TenneT,2024-04-01,11395294.5575
TenneT,2024-05-01,10920830.96
TenneT,2024-06-01,10770700.6175
TenneT,2024-07-01,11148664.045
TenneT,2024-08-01,11107348.48
TenneT,2024-09-01,10973901.87
TenneT,2024-10-01,11882859.5575
TenneT,2024-11-01,12479625.625
TenneT,2024-12-01,12552424.435
TenneT,2025-01-01,12634788.005
TenneT,2025-02-01,11388436.3675
TransnetBW,2015-01-01,5813888.6425
TransnetBW,2015-02-01,5544623.69
TransnetBW,2015-03-01,5746557.69
TransnetBW,2015-04-01,5135803.2
TransnetBW,2015-05-01,4901455.2525
TransnetBW,2015-06-01,4950479.2925
TransnetBW,2015-07-01,5329142.42
TransnetBW,2015-08-01,4858845.18
TransnetBW,2015-09-01,4993938.9125
TransnetBW,2015-10-01,5449795.23
TransnetBW,2015-11-01,5556961.965
TransnetBW,2015-12-01,5395364.83
TransnetBW,2016-01-01,5626261.0025
TransnetBW,2016-02-01,5544710.435
TransnetBW,2016-03-01,5711826.5675
TransnetBW,2016-04-01,5291011.42
TransnetBW,2016-05-01,4945986.6675
TransnetBW,2016-06-01,5046689.8375
TransnetBW,2016-07-01,5129526.28
TransnetBW,2016-08-01,4838012.895
TransnetBW,2016-09-01,4913736.25
TransnetBW,2016-10-01,5364842.1125
TransnetBW,2016-11-01,5683773.01
TransnetBW,2016-12-01,5672737.94
TransnetBW,2017-01-01,6165164.6025
TransnetBW,2017-02-01,5377987.3975
TransnetBW,2017-03-01,5601596.87
TransnetBW,2017-04-01,4961294.645
TransnetBW,2017-05-01,5156688.6875
TransnetBW,2017-06-01,4863870.3225
TransnetBW,2017-07-01,5140040.1225
TransnetBW,2017-08-01,4951818.955
TransnetBW,2017-09-01,4947450.1025
TransnetBW,2017-10-01,5306897.455
TransnetBW,2017-11-01,5723219.495
TransnetBW,2017-12-01,5613268.155
TransnetBW,2018-01-01,5768474.39
TransnetBW,2018-02-01,5572899.0125
TransnetBW,2018-03-01,5793082.5025
TransnetBW,2018-04-01,4988945.9825
TransnetBW,2018-05-01,4902260.145
TransnetBW,2018-06-01,4993193.255
TransnetBW,2018-07-01,5180311.05
TransnetBW,2018-08-01,4992478.375
TransnetBW,2018-09-01,4835979.42
TransnetBW,2018-10-01,5302254.035
TransnetBW,2018-11-01,5549489.5975
TransnetBW,2018-12-01,5414046.8675
TransnetBW,2019-01-01,5992688.9825
TransnetBW,2019-02-01,5312473.7325
TransnetBW,2019-03-01,5514641.365
TransnetBW,2019-04-01,5022019.5725
TransnetBW,2019-05-01,5102763.2225
TransnetBW,2019-06-01,4688716.1175
TransnetBW,2019-07-01,5178320.36
TransnetBW,2019-08-01,4689830.4425
TransnetBW,2019-09-01,4779000.2425
TransnetBW,2019-10-01,5233507.35
TransnetBW,2019-11-01,5422794.9775
TransnetBW,2019-12-01,5199566.2425
TransnetBW,2020-01-01,5635722.3425
TransnetBW,2020-02-01,5307034.1675
TransnetBW,2020-03-01,5303931.5475
TransnetBW,2020-04-01,4301559.6325
TransnetBW,2020-05-01,4461625.2325
TransnetBW,2020-06-01,4418730.965
TransnetBW,2020-07-01,4837206.8
TransnetBW,2020-08-01,4563561.625
TransnetBW,2020-09-01,4756677.15
TransnetBW,2020-10-01,5232409.11
TransnetBW,2020-11-01,5289696.99
TransnetBW,2020-12-01,5315932.5075
TransnetBW,2021-01-01,5527353.175
TransnetBW,2021-02-01,5103968.675
TransnetBW,2021-03-01,5502576.2625
TransnetBW,2021-04-01,4944449.775
TransnetBW,2021-05-01,4845355.865
TransnetBW,2021-06-01,4798244.2925
TransnetBW,2021-07-01,4979176.665
TransnetBW,2021-08-01,4594484.74
TransnetBW,2021-09-01,4773343.945
TransnetBW,2021-10-01,5241129.135
TransnetBW,2021-11-01,5523934.87
TransnetBW,2021-12-01,5420711.325
TransnetBW,2022-01-01,5571401.49
TransnetBW,2022-02-01,5196694.6675
TransnetBW,2022-03-01,5437821.875
TransnetBW,2022-04-01,4873009.9425
TransnetBW,2022-05-01,4851256.3975
TransnetBW,2022-06-01,4567694.885
TransnetBW,2022-07-01,4882057.2275
TransnetBW,2022-08-01,4615828.34
TransnetBW,2022-09-01,4686801.0575
TransnetBW,2022-10-01,4808515.365
TransnetBW,2022-11-01,5037696.22
TransnetBW,2022-12-01,5116535.52
TransnetBW,2023-01-01,5289255.4725
TransnetBW,2023-02-01,4927008.805
TransnetBW,2023-03-01,5215629.055
TransnetBW,2023-04-01,4560030.495
TransnetBW,2023-05-01,4448517.35
TransnetBW,2023-06-01,4357497.0275
TransnetBW,2023-07-01,4612166.8075
TransnetBW,2023-08-01,4411492.2025
TransnetBW,2023-09-01,4379602.24
TransnetBW,2023-10-01,4730776.2825
TransnetBW,2023-11-01,5129985.5525
TransnetBW,2023-12-01,4988470.1025
TransnetBW,2024-01-01,5447087.3
TransnetBW,2024-02-01,4873956.2675
TransnetBW,2024-03-01,4886262.155
TransnetBW,2024-04-01,4649180.6025
TransnetBW,2024-05-01,4326761.165
TransnetBW,2024-06-01,4403690.985
TransnetBW,2024-07-01,4671073.585
TransnetBW,2024-08-01,4298388.2725
TransnetBW,2024-09-01,4480066.5275
TransnetBW,2024-10-01,4820539.6575
TransnetBW,2024-11-01,5084296.17
TransnetBW,2024-12-01,5037793.1675
TransnetBW,2025-01-01,5696503.9825
TransnetBW,2025-02-01,5285262.0125
