"date","price"
"2015-12-30",26.86
"2015-12-31",21.92
"2016-01-01",24.95
"2016-01-02",18.14
"2016-01-03",14.15
"2016-01-04",27.47
"2016-01-05",33.39
"2016-01-06",33.61
"2016-01-07",33.4
"2016-01-08",26.97
"2016-01-09",28.9
"2016-01-10",20.56
"2016-01-11",33.62
"2016-01-12",29.45
"2016-01-13",29.16
"2016-01-14",33.59
"2016-01-15",35.4
"2016-01-16",28.32
"2016-01-17",27.57
"2016-01-18",38.87
"2016-01-19",48.2
"2016-01-20",48.73
"2016-01-21",52.18
"2016-01-22",33.29
"2016-01-23",28.28
"2016-01-24",26.32
"2016-01-25",28.34
"2016-01-26",25.51
"2016-01-27",19.2
"2016-01-28",25.8
"2016-01-29",22.65
"2016-01-30",12.05
"2016-01-31",12.05
"2016-02-01",21.25
"2016-02-02",16.57
"2016-02-03",22.87
"2016-02-04",26.36
"2016-02-05",27.86
"2016-02-06",16.3
"2016-02-07",9.77
"2016-02-08",13.64
"2016-02-09",16.15
"2016-02-10",24.33
"2016-02-11",25.72
"2016-02-12",28.59
"2016-02-13",22.94
"2016-02-14",15.37
"2016-02-15",24.53
"2016-02-16",32.37
"2016-02-17",26.09
"2016-02-18",27.86
"2016-02-19",27.36
"2016-02-20",14.19
"2016-02-21",8.92
"2016-02-22",19.19
"2016-02-23",24.52
"2016-02-24",23.95
"2016-02-25",27.88
"2016-02-26",27.83
"2016-02-27",23.0
"2016-02-28",18.34
"2016-02-29",23.94
"2016-03-01",25.0
"2016-03-02",24.05
"2016-03-03",28.19
"2016-03-04",24.88
"2016-03-05",23.13
"2016-03-06",21.33
"2016-03-07",29.42
"2016-03-08",28.36
"2016-03-09",25.75
"2016-03-10",26.16
"2016-03-11",27.92
"2016-03-12",27.81
"2016-03-13",22.93
"2016-03-14",27.45
"2016-03-15",27.15
"2016-03-16",25.41
"2016-03-17",27.63
"2016-03-18",25.24
"2016-03-19",24.55
"2016-03-20",17.88
"2016-03-21",25.3
"2016-03-22",28.42
"2016-03-23",26.44
"2016-03-24",27.78
"2016-03-25",25.45
"2016-03-26",20.09
"2016-03-27",10.23
"2016-03-28",1.52
"2016-03-29",22.07
"2016-03-30",27.19
"2016-03-31",27.94
"2016-04-01",27.6
"2016-04-02",21.5
"2016-04-03",17.69
"2016-04-04",27.14
"2016-04-05",26.87
"2016-04-06",22.62
"2016-04-07",22.82
"2016-04-08",28.35
"2016-04-09",24.14
"2016-04-10",19.31
"2016-04-11",23.59
"2016-04-12",28.36
"2016-04-13",28.54
"2016-04-14",26.74
"2016-04-15",25.24
"2016-04-16",18.89
"2016-04-17",18.51
"2016-04-18",23.93
"2016-04-19",20.54
"2016-04-20",23.91
"2016-04-21",26.59
"2016-04-22",25.75
"2016-04-23",22.6
"2016-04-24",15.55
"2016-04-25",26.49
"2016-04-26",26.99
"2016-04-27",26.09
"2016-04-28",29.9
"2016-04-29",25.65
"2016-04-30",24.52
"2016-05-01",18.63
"2016-05-02",27.83
"2016-05-03",28.27
"2016-05-04",27.36
"2016-05-05",19.45
"2016-05-06",22.54
"2016-05-07",14.77
"2016-05-08",-12.89
"2016-05-09",21.56
"2016-05-10",27.03
"2016-05-11",25.07
"2016-05-12",25.3
"2016-05-13",27.36
"2016-05-14",12.85
"2016-05-15",7.4
"2016-05-16",20.79
"2016-05-17",30.3
"2016-05-18",30.63
"2016-05-19",33.36
"2016-05-20",27.66
"2016-05-21",21.82
"2016-05-22",5.65
"2016-05-23",29.23
"2016-05-24",29.41
"2016-05-25",30.52
"2016-05-26",27.55
"2016-05-27",28.67
"2016-05-28",23.72
"2016-05-29",13.47
"2016-05-30",24.81
"2016-05-31",28.67
"2016-06-01",30.47
"2016-06-02",28.78
"2016-06-03",29.08
"2016-06-04",25.15
"2016-06-05",20.32
"2016-06-06",30.52
"2016-06-07",29.12
"2016-06-08",29.08
"2016-06-09",30.68
"2016-06-10",26.19
"2016-06-11",26.38
"2016-06-12",22.42
"2016-06-13",29.3
"2016-06-14",30.14
"2016-06-15",30.58
"2016-06-16",30.58
"2016-06-17",28.04
"2016-06-18",21.98
"2016-06-19",17.4
"2016-06-20",26.96
"2016-06-21",33.09
"2016-06-22",32.45
"2016-06-23",29.41
"2016-06-24",30.58
"2016-06-25",27.98
"2016-06-26",16.33
"2016-06-27",27.77
"2016-06-28",33.08
"2016-06-29",27.33
"2016-06-30",29.63
"2016-07-01",27.11
"2016-07-02",21.06
"2016-07-03",14.24
"2016-07-04",30.83
"2016-07-05",26.98
"2016-07-06",16.21
"2016-07-07",29.58
"2016-07-08",28.66
"2016-07-09",20.47
"2016-07-10",15.29
"2016-07-11",25.23
"2016-07-12",29.87
"2016-07-13",32.58
"2016-07-14",25.2
"2016-07-15",26.0
"2016-07-16",24.84
"2016-07-17",21.49
"2016-07-18",29.83
"2016-07-19",32.43
"2016-07-20",29.44
"2016-07-21",32.78
"2016-07-22",31.74
"2016-07-23",29.56
"2016-07-24",27.09
"2016-07-25",33.22
"2016-07-26",32.94
"2016-07-27",33.52
"2016-07-28",31.62
"2016-07-29",30.06
"2016-07-30",27.7
"2016-07-31",25.28
"2016-08-01",29.73
"2016-08-02",32.55
"2016-08-03",29.27
"2016-08-04",27.89
"2016-08-05",31.55
"2016-08-06",24.57
"2016-08-07",15.4
"2016-08-08",21.27
"2016-08-09",28.77
"2016-08-10",28.15
"2016-08-11",28.84
"2016-08-12",28.02
"2016-08-13",18.81
"2016-08-14",21.75
"2016-08-15",27.98
"2016-08-16",29.66
"2016-08-17",29.78
"2016-08-18",30.59
"2016-08-19",30.73
"2016-08-20",24.87
"2016-08-21",15.09
"2016-08-22",28.34
"2016-08-23",31.38
"2016-08-24",29.77
"2016-08-25",28.8
"2016-08-26",29.44
"2016-08-27",26.23
"2016-08-28",21.71
"2016-08-29",28.95
"2016-08-30",32.11
"2016-08-31",30.67
"2016-09-01",31.26
"2016-09-02",30.55
"2016-09-03",29.49
"2016-09-04",24.44
"2016-09-05",36.78
"2016-09-06",33.09
"2016-09-07",30.77
"2016-09-08",30.97
"2016-09-09",32.32
"2016-09-10",28.4
"2016-09-11",27.25
"2016-09-12",33.13
"2016-09-13",31.93
"2016-09-14",29.09
"2016-09-15",27.97
"2016-09-16",32.45
