control_zone_id,month_id,total_load
3,88,11990697.8175
3,89,11993353.255
3,90,11369340.1475
3,91,11710541.1775
3,92,11502732.84
3,93,11330730.1825
3,94,11854358.2025
3,95,12251636.435
3,96,12627263.515
3,97,12861520.135
3,98,11672324.185
3,99,12318576.5075
3,100,10392183.2225
3,101,11048577.885
3,102,10835979.8075
3,103,11168556.9275
3,104,11180780.5775
3,105,10902582.5975
3,106,11872914.29
3,107,12497302.5025
3,108,12563291.785
3,109,13192589.505
3,110,11961138.6575
3,111,12099515.89
3,112,11395294.5575
3,113,10920830.96
3,114,10770700.6175
3,115,11148664.045
3,116,11107348.48
3,117,10973901.87
3,118,11882859.5575
3,119,12479625.625
3,120,12552424.435
3,121,12634788.005
3,122,11388436.3675
4,1,5813888.6425
4,2,5544623.69
4,3,5746557.69
4,4,5135803.2
4,5,4901455.2525
4,6,4950479.2925
4,7,5329142.42
4,8,4858845.18
4,9,4993938.9125
4,10,5449795.23
4,11,5556961.965
4,12,5395364.83
4,13,5626261.0025
4,14,5544710.435
4,15,5711826.5675
4,16,5291011.42
4,17,4945986.6675
4,18,5046689.8375
4,19,5129526.28
4,20,4838012.895
4,21,4913736.25
4,22,5364842.1125
4,23,5683773.01
4,24,5672737.94
4,25,6165164.6025
4,26,5377987.3975
4,27,5601596.87
4,28,4961294.645
4,29,5156688.6875
4,30,4863870.3225
4,31,5140040.1225
4,32,4951818.955
4,33,4947450.1025
4,34,5306897.455
4,35,5723219.495
4,36,5613268.155
4,37,5768474.39
4,38,5572899.0125
4,39,5793082.5025
4,40,4988945.9825
4,41,4902260.145
4,42,4993193.255
4,43,5180311.05
4,44,4992478.375
4,45,4835979.42
4,46,5302254.035
4,47,5549489.5975
4,48,5414046.8675
4,49,5992688.9825
4,50,5312473.7325
4,51,5514641.365
4,52,5022019.5725
4,53,5102763.2225
4,54,4688716.1175
4,55,5178320.36
4,56,4689830.4425
4,57,4779000.2425
4,58,5233507.35
4,59,5422794.9775
4,60,5199566.2425
4,61,5635722.3425
4,62,5307034.1675
4,63,5303931.5475
4,64,4301559.6325
4,65,4461625.2325
4,66,4418730.965
4,67,4837206.8
4,68,4563561.625
4,69,4756677.15
4,70,5232409.11
4,71,5289696.99
4,72,5315932.5075
4,73,5527353.175
4,74,5103968.675
4,75,5502576.2625
4,76,4944449.775
4,77,4845355.865
4,78,4798244.2925
4,79,4979176.665
4,80,4594484.74
4,81,4773343.945
4,82,5241129.135
4,83,5523934.87
4,84,5420711.325
4,85,5571401.49
4,86,5196694.6675
4,87,5437821.875
4,88,4873009.9425
4,89,4851256.3975
4,90,4567694.885
4,91,4882057.2275
4,92,4615828.34
4,93,4686801.0575
4,94,4808515.365
4,95,5037696.22
4,96,5116535.52
4,97,5289255.4725
4,98,4927008.805
4,99,5215629.055
4,100,4560030.495
4,101,4448517.35
4,102,4357497.0275
4,103,4612166.8075
4,104,4411492.2025
4,105,4379602.24
4,106,4730776.2825
4,107,5129985.5525
4,108,4988470.1025
4,109,5447087.3
4,110,4873956.2675
4,111,4886262.155
4,112,4649180.6025
4,113,4326761.165
4,114,4403690.985
4,115,4671073.585
4,116,4298388.2725
4,117,4480066.5275
4,118,4820539.6575
4,119,5084296.17
4,120,5037793.1675
4,121,5696503.9825
4,122,5285262.0125
