control_zone_id,month_id,grid_load,hydro_pumped_storage,residual_load
3,67,11707217.5,127276.25,5824524.0
3,68,11591835.0,132039.25,5916208.75
3,69,11690436.0,137476.0,6496659.0
3,70,12942238.0,152210.75,4977658.75
3,71,12845804.5,85121.0,6353153.75
3,72,12791110.5,115249.25,6681778.75
3,73,13507178.75,116690.0,7580462.75
3,74,12372690.75,99688.75,5659106.75
3,75,13286849.0,77677.25,5965491.5
3,76,12146391.5,102343.75,5428274.75
3,77,11930865.25,129099.0,5426192.5
3,78,11773016.75,131433.0,6812544.0
3,79,12109550.5,114907.5,6800365.0
3,80,11708596.75,90464.75,5462442.75
3,81,11724362.0,140311.0,6907720.5
3,82,12812530.25,170463.0,4876322.25
3,83,13263098.25,155549.5,7404131.75
3,84,13425274.0,123134.25,7033748.0
3,85,13736455.5,186719.0,5418502.0
3,86,12606398.0,138079.5,1977570.5
3,87,13046500.75,188645.0,6998348.0
3,88,11998795.5,143510.0,4235681.0
3,89,11990554.5,172256.25,5186730.5
3,90,11368257.5,179109.0,5426009.5
3,91,11714240.25,199143.25,4987764.0
3,92,11500196.25,156910.0,6255003.75
3,93,11330091.75,120173.0,5238831.25
3,94,11868943.0,170868.5,4697312.25
3,95,12249126.25,182460.0,4589025.0
3,96,12630345.5,174845.5,6155287.25
3,97,12857113.25,178723.5,4114642.75
3,98,11673521.0,123366.5,5409367.75
3,99,12308070.5,210007.5,3947709.5
3,100,10397904.5,161369.5,3203427.0
3,101,11044528.0,170779.25,3801243.0
3,102,10836653.75,172845.75,4377388.0
3,103,11168915.5,122360.5,3144119.75
3,104,11179227.25,123049.5,5426559.75
3,105,10907002.0,149404.5,4996473.0
3,106,11881917.5,193116.0,3382968.75
3,107,12493947.0,154587.75,4128737.5
3,108,12566694.0,177390.0,2979575.25
3,109,13188853.75,158245.0,3334353.5
3,110,11962649.75,158925.25,2835075.0
3,111,12092671.75,195947.25,3639709.5
3,112,11392236.5,207763.5,2980828.0
3,113,10922213.0,239425.5,3743771.75
3,114,10770662.0,228739.0,3685776.0
3,115,11146466.5,244776.5,3695637.25
3,116,11110742.75,245372.5,4220605.75
3,117,10969476.75,199053.25,3679923.0
3,118,11896451.0,195189.25,5081521.75
3,119,12478939.0,170802.25,5865505.5
3,120,12552167.0,159682.75,4282734.5
3,121,12634833.25,139920.5,4547140.5
3,122,11388527.0,131438.0,5053024.75
3,123,11069432.75,158656.75,4384818.0
4,1,5497581.5,294395.25,5301406.25
4,2,5249740.0,248971.0,5014307.0
4,3,5457640.5,305713.0,4889734.0
4,4,4952349.0,293766.0,4196818.25
4,5,4764142.75,301690.25,4060126.0
4,6,4903243.75,237517.0,4153434.25
4,7,5332342.75,240898.75,4462965.25
4,8,4865520.5,256048.75,4111577.25
4,9,4983563.25,293128.0,4409500.25
4,10,5386233.25,284285.25,5049069.25
4,11,5380091.5,333341.25,5029679.5
4,12,5132313.25,359306.0,4839205.5
4,13,5506474.25,331193.25,5247355.5
4,14,5423494.0,326881.75,5061761.75
4,15,5631734.25,278190.25,5122229.0
4,16,5246077.75,254476.5,4630595.0
4,17,4908854.75,286090.0,4140829.75
4,18,5029403.25,255389.75,4306574.75
4,19,5119856.0,221698.0,4294836.75
4,20,4810287.5,262552.5,4028994.25
4,21,4858004.0,273417.0,4258191.5
4,22,5268336.75,322485.5,4866844.5
4,23,5564752.75,356363.75,5218242.5
4,24,5561778.0,350113.75,5279318.0
4,25,6046438.5,367259.25,5755936.75
4,26,5231329.25,380038.5,4799710.75
4,27,5440149.0,416363.5,4695198.0
4,28,4839866.75,391794.25,4159917.25
4,29,5096651.25,330785.25,4299212.0
4,30,4830912.25,309512.75,3924413.0
4,31,5099986.75,247601.75,4287530.5
4,32,4914462.5,281340.75,4189188.5
4,33,4890622.75,310192.75,4321469.25
4,34,5214407.75,357815.5,4655843.25
4,35,5614169.0,325627.25,5244175.75
4,36,5480906.5,388738.0,5048299.0
4,37,5766802.25,380813.75,5245506.5
4,38,5571388.75,269017.5,5131242.5
4,39,5794028.25,321605.0,5178391.25
4,40,4999952.75,432243.5,4098937.75
4,41,4905567.5,351555.0,4054440.5
4,42,4997177.75,283136.5,4174881.0
4,43,5178801.0,230801.0,4334942.0
4,44,4996520.75,308756.75,4193295.0
4,45,4839232.5,399472.5,4131615.25
4,46,5309616.5,443658.5,4720532.75
4,47,5548908.0,382265.5,5169993.0
4,48,5415406.25,444511.75,4934048.75
4,49,5990551.0,384460.75,5516351.5
4,50,5313531.75,347761.5,4728300.75
4,51,5510312.0,373287.5,4564882.0
4,52,5021802.5,371234.5,4211382.5
4,53,5103914.0,335039.0,4246866.5
4,54,4687908.75,329760.5,3733518.75
4,55,5177815.5,237852.5,4267775.25
4,56,4691818.5,253683.25,3886350.5
4,57,4776730.75,274326.0,4038205.5
4,58,5239243.0,264994.25,4605637.5
4,59,5422616.75,261799.25,5003940.75
4,60,5199985.0,330321.75,4632999.25
4,61,5634886.25,292462.5,5112386.25
4,62,5307752.5,320038.75,4445433.25
4,63,5297556.75,321229.25,4301507.75
4,64,4303760.25,384589.0,3250840.75
4,65,4463678.5,331486.5,3457659.25
4,66,4415792.25,269643.5,3520081.25
4,67,4837327.5,287571.25,3796029.0
4,68,4563664.0,326887.75,3720539.75
4,69,4755977.25,296728.75,4010060.75
4,70,5238512.5,342285.5,4608966.25
4,71,5287562.75,269550.75,4858182.75
4,72,5317747.0,323431.25,4979507.25
4,73,5526468.75,323362.25,5100876.0
4,74,5104276.25,280089.75,4543966.25
4,75,5497112.5,340041.75,4659564.75
4,76,4945095.75,283651.0,4003486.25
4,77,4844869.75,278809.0,3718317.75
4,78,4798193.5,177550.75,3790518.25
4,79,4981080.5,204291.5,4036327.0
4,80,4592849.75,218892.5,3733595.5
4,81,4773093.5,256517.25,3952634.5
4,82,5247400.5,312801.0,4558964.75
4,83,5521617.75,333769.75,5163291.25
4,84,5423105.0,398841.75,4973859.75
4,85,5569129.0,391479.75,5014806.5
4,86,5196982.75,399986.5,4288250.5
4,87,5432175.75,366990.25,4453406.5
4,88,4875784.5,377029.75,3859540.0
4,89,4849826.25,299267.5,3692970.25
4,90,4566287.5,297626.0,3429535.25
4,91,4885001.25,377768.88,3680852.0
4,92,4614877.0,313785.0,3511701.5
4,93,4686857.25,336705.25,3847062.25
4,94,4814382.25,378354.75,4139365.5
4,95,5035998.0,396485.5,4521638.75
4,96,5118509.5,420295.5,4715743.0
4,97,5286938.75,290563.25,4730567.0
4,98,4926953.75,225337.25,4190397.5
4,99,5211606.75,257476.5,4207742.5
4,100,4562431.0,275933.0,3620267.25
4,101,4446368.75,264629.75,3265932.0
4,102,4358136.25,199962.0,2980431.5
4,103,4612286.5,200619.75,3318055.5
4,104,4411129.0,156199.0,3323343.75
4,105,4381938.75,167584.0,3327145.5
4,106,4733412.75,261084.5,3872120.5
4,107,5128559.5,205439.25,4396910.0
4,108,4990375.0,253395.0,4326834.0
4,109,5445645.5,178075.5,4749900.0
4,110,4874208.25,203038.75,4051901.0
4,111,4884035.5,243640.25,3930088.75
4,112,4647772.5,280068.0,3442221.25
4,113,4327310.0,238134.75,3057891.0
4,114,4403617.0,310710.0,3099927.5
4,115,4669835.25,237013.5,3275610.25
4,116,4299833.75,373663.0,2958318.5
4,117,4478362.5,280166.5,3355255.5
4,118,4826128.5,315342.75,4128649.25
4,119,5083707.5,234627.0,4514102.5
4,120,5037514.5,289260.75,4459787.0
4,121,5394283.0,289323.0,4645032.25
4,122,5284976.75,223371.0,4650955.0
4,123,5306882.75,308205.25,4175633.25
